id,tag_id,snippet_id,created_at,updated_at
503,39,153,2015-03-30 03:14:15,2015-03-30 03:14:15
504,123,153,2015-03-30 03:14:15,2015-03-30 03:14:15
505,39,154,2015-03-30 19:16:08,2015-03-30 19:16:08
510,39,156,2015-04-04 14:39:09,2015-04-04 14:39:09
511,44,155,2015-04-04 17:03:38,2015-04-04 17:03:38
512,124,155,2015-04-04 17:03:38,2015-04-04 17:03:38
513,39,155,2015-04-04 17:03:38,2015-04-04 17:03:38
521,8,38,2015-04-05 03:47:48,2015-04-05 03:47:48
522,25,38,2015-04-05 03:47:48,2015-04-05 03:47:48
523,26,38,2015-04-05 03:47:48,2015-04-05 03:47:48
610,17,187,2015-04-12 07:46:39,2015-04-12 07:46:39
615,17,189,2015-04-12 08:31:13,2015-04-12 08:31:13
618,39,190,2015-04-12 08:50:38,2015-04-12 08:50:38
620,17,191,2015-04-12 09:33:02,2015-04-12 09:33:02
622,129,192,2015-04-14 08:50:25,2015-04-14 08:50:25
623,11,193,2015-04-14 10:00:35,2015-04-14 10:00:35
624,17,186,2015-04-15 02:36:39,2015-04-15 02:36:39
625,129,194,2015-04-15 02:40:33,2015-04-15 02:40:33
626,130,194,2015-04-15 02:40:33,2015-04-15 02:40:33
627,82,163,2015-04-15 11:40:15,2015-04-15 11:40:15
628,39,163,2015-04-15 11:40:15,2015-04-15 11:40:15
629,83,163,2015-04-15 11:40:15,2015-04-15 11:40:15
630,84,163,2015-04-15 11:40:15,2015-04-15 11:40:15
631,85,163,2015-04-15 11:40:15,2015-04-15 11:40:15
632,86,163,2015-04-15 11:40:15,2015-04-15 11:40:15
633,127,163,2015-04-15 11:40:15,2015-04-15 11:40:15
634,17,195,2015-04-15 12:09:03,2015-04-15 12:09:03
635,39,195,2015-04-15 12:09:03,2015-04-15 12:09:03
638,19,197,2015-04-17 06:15:17,2015-04-17 06:15:17
639,18,197,2015-04-17 06:15:17,2015-04-17 06:15:17
640,131,197,2015-04-17 06:15:17,2015-04-17 06:15:17
647,38,199,2015-04-19 09:59:05,2015-04-19 09:59:05
648,39,199,2015-04-19 09:59:05,2015-04-19 09:59:05
649,18,200,2015-04-20 02:52:23,2015-04-20 02:52:23
650,131,200,2015-04-20 02:52:23,2015-04-20 02:52:23
651,11,201,2015-04-21 02:23:40,2015-04-21 02:23:40
654,38,198,2015-04-21 11:57:21,2015-04-21 11:57:21
655,39,198,2015-04-21 11:57:21,2015-04-21 11:57:21
662,13,203,2015-04-22 10:05:15,2015-04-22 10:05:15
665,39,204,2015-04-22 11:56:55,2015-04-22 11:56:55
666,38,204,2015-04-22 11:56:55,2015-04-22 11:56:55
670,39,205,2015-04-22 12:26:28,2015-04-22 12:26:28
672,39,206,2015-04-22 12:32:32,2015-04-22 12:32:32
673,39,207,2015-04-22 12:34:42,2015-04-22 12:34:42
674,39,208,2015-04-22 12:36:45,2015-04-22 12:36:45
675,38,209,2015-04-22 13:01:35,2015-04-22 13:01:35
676,39,209,2015-04-22 13:01:35,2015-04-22 13:01:35
683,17,211,2015-04-22 13:32:01,2015-04-22 13:32:01
684,39,211,2015-04-22 13:32:01,2015-04-22 13:32:01
685,38,211,2015-04-22 13:32:01,2015-04-22 13:32:01
686,38,210,2015-04-23 11:34:12,2015-04-23 11:34:12
687,39,210,2015-04-23 11:34:12,2015-04-23 11:34:12
688,17,210,2015-04-23 11:34:12,2015-04-23 11:34:12
694,17,213,2015-04-23 11:57:41,2015-04-23 11:57:41
696,17,214,2015-04-23 12:32:53,2015-04-23 12:32:53
697,17,212,2015-04-23 16:01:27,2015-04-23 16:01:27
